neighborhood,neighborhood-2,st_distance
98,19,0.208739859234582
98,20,0.21369310341105102
98,55,0.259395189908656
98,24,0.0195879597736251
98,63,0.09963414221532801
98,62,0.0828973713932833
98,103,0.23403292421940397
98,22,0.17054433048452197
98,80,0.0864760089252829
98,5,0.050535078914997
98,18,0.162223736427545
98,33,0.049713861549862993
98,25,0.0262120397145656
98,44,0.19489881727983102
98,81,0.292919004134872
98,60,0.260001533385622
98,71,0.319807271887477
98,92,0.245625884371904
98,46,0.00120172781853426
98,42,0.135740556985542
98,2,0.0
98,74,0.246738308729553
98,43,0.12830226501481198
98,8,0.24006833792214602
98,17,0.0754953920780085
98,91,0.261866269235041
98,34,0.201315595271087
98,11,0.0396342680645322
98,65,0.43850948773000603
98,93,0.275925938221735
98,66,0.194125410207416
98,10,0.19887614210233603
98,61,0.17989299999786101
98,16,0.15233922797816699
98,51,0.164193999998091
98,105,0.17456186205614702
98,87,0.111845506914753
98,109,0.17018588634584803
98,73,0.25548761368758
98,78,0.168555598161477
98,23,0.456944462589484
95,14,0.00440113621682555
95,49,0.0586040511393978
95,96,0.0
95,84,0.085822673315995
95,111,0.0435855550034809
95,15,0.0287670385846909
95,110,0.0689079386137384
95,35,0.0619891539295627
95,76,0.0741048770120306
95,48,0.0112801113290425
95,38,0.0253783805826698
95,99,0.076516559126788
95,97,0.111275102448739
95,9,0.0316394518927559
95,52,0.0
95,40,0.0217366879031745
95,70,0.23386224684002602
95,68,0.0542797957544845
95,30,0.18469788973183
95,37,0.23558706946598298
95,112,0.334657625629807
95,82,0.065328603260808
95,6,0.15158693722580302
95,98,0.194459535853432
95,95,0.0
95,39,0.0827815958524478
95,56,0.0123675139376745
95,47,0.0871519067982664
95,29,0.0378081442569778
95,108,0.0534151551995554
95,69,0.12394741517276199
95,64,0.0841672122020965
95,58,0.29685559160951197
95,27,0.0369850402459224
95,41,0.0742643201679528
95,85,0.11673280950956098
95,86,0.219501682360965
95,3,0.0390337648965602
95,13,0.0907410260299385
95,50,0.0240510415780523
95,31,0.0450754123884588
95,54,0.111784007858373
95,94,0.0597659368194748
95,12,0.0503346917039681
95,1,0.168578463021751
95,79,0.11608579184899799
95,106,0.0778965006140939
95,67,0.0852017230336653
95,21,0.0077620873479287
95,101,0.211165326336946
